archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c009_s002_ed0.01_te20000._ep 5.0.dat,Cr,4.303336380066053,5.764859061590318,0.7325334732449513,-0.5563037424346646,3.836,20.0,0.0,3,0.0012,52.35999999999999,0.01,20000.0,0.0,coalescencia,8.84,0.0,0.0,0.0
Fe_3d_altura_c006_s006_ed0.92_te20000._ep 5.0.dat,Fe,9.48899020128064,18.100276240985938,-0.334968124102979,-1.1111712125795454,15.4136,30.0,0.0,1,0.0004,83.67999999999999,0.92,20000.0,0.0,crecimiento,69.48,36.6,0.0,0.0
Cr_3d_altura_c008_s001_ed0.12_te20000._ep 5.0.dat,Cr,2.5740072727169987,3.045849635159293,1.3640947553229674,0.8619195393885692,1.6284,12.0,0.0,100,0.04,32.56,0.12,20000.0,0.0,coalescencia,0.36,0.0,0.0,0.0
Fe_3d_altura_c004_s002_ed0.92_te20000._ep 5.0.dat,Fe,4.686019103674248,6.3507479874421096,0.6832541133867721,-0.6866321935989279,4.2864,19.0,0.0,7,0.0028,54.16,0.92,20000.0,0.0,coalescencia,12.6,0.0,0.0,0.0
Fe_3d_altura_c006_s001_ed0.92_te20000._ep 5.0.dat,Fe,2.5796309813614817,3.0611109094575455,1.3156805583265523,0.6833087073182447,1.648,13.0,0.0,100,0.04,32.76,0.92,20000.0,0.0,coalescencia,0.32,0.0,0.0,0.0
Cr_3d_altura_c005_s005_ed0.15_te20000._ep 5.0.dat,Cr,9.582718870967675,18.06575766470922,-0.33918832339616145,-1.1675844074697905,15.3148,30.0,0.0,1,0.0004,83.16,0.15,20000.0,0.0,crecimiento,68.28,37.28,0.0,0.0
Fe_3d_altura_c006_s003_ed0.92_te20000._ep 5.0.dat,Fe,6.53790058046159,9.96164645026112,0.34037826674668986,-0.9497848397401101,7.516,27.0,0.0,1,0.0004,68.24,0.92,20000.0,0.0,crecimiento,36.04,2.52,0.0,0.0
Cr_3d_altura_c004_s002_ed0.21_te20000._ep 5.0.dat,Cr,4.6297391891984585,6.301460148251356,0.6624230054745973,-0.7604578653347978,4.2748,19.0,0.0,10,0.004,54.800000000000004,0.21,20000.0,0.0,coalescencia,12.44,0.0,0.0,0.0
Cr_3d_altura_c005_s003_ed0.15_te20000._ep 5.0.dat,Cr,6.484730754626594,9.994538508605588,0.23366546397854523,-1.2202490860102917,7.6052,24.0,0.0,1,0.0004,69.04,0.15,20000.0,0.0,crecimiento,36.720000000000006,1.08,0.0,0.0
Fe_3d_altura_c007_s004_ed0.80_te20000._ep 5.0.dat,Fe,8.526287032466126,14.69718340363214,-0.060421535682473264,-1.233919195707651,11.9712,30.0,0.0,1,0.0004,78.4,0.8,20000.0,0.0,crecimiento,57.68,18.92,0.0,0.0
Cr_3d_altura_c004_s004_ed0.21_te20000._ep 5.0.dat,Cr,8.234448654281596,14.164942640194488,-0.014976243124277824,-1.1568280140994123,11.5256,30.0,0.0,1,0.0004,78.44,0.21,20000.0,0.0,crecimiento,56.599999999999994,15.840000000000002,0.0,0.0
Fe_3d_altura_c003_s002_ed0.66_te20000._ep 5.0.dat,Fe,4.771613982710672,6.403217941004351,0.7468744921495384,-0.5575633921297212,4.27,20.0,0.0,7,0.0028,53.36,0.66,20000.0,0.0,coalescencia,13.0,0.0,0.0,0.0
Cr_3d_altura_c006_s004_ed0.24_te20000._ep 5.0.dat,Cr,8.636438849433254,14.637390477814002,0.015847110493715212,-1.2409616593540855,11.818,30.0,0.0,1,0.0004,78.2,0.24,20000.0,0.0,crecimiento,55.84,19.96,0.0,0.0
Cr_3d_altura_c004_s001_ed0.21_te20000._ep 5.0.dat,Cr,2.6306946307011767,3.130878470972644,1.321089668743102,0.6708029441647012,1.6976,12.0,0.0,103,0.0412,33.68,0.21,20000.0,0.0,coalescencia,0.32,0.0,0.0,0.0
Cr_3d_altura_c002_s004_ed0.15_te20000._ep 5.0.dat,Cr,8.121699713729878,13.925961367173183,-0.048207098197338615,-1.220030749580785,11.3124,30.0,0.0,1,0.0004,77.96,0.15,20000.0,0.0,crecimiento,56.52,14.24,0.0,0.0
Cr_3d_altura_c008_s003_ed0.12_te20000._ep 5.0.dat,Cr,6.553234303761769,10.034879172167447,0.2818554706332243,-1.153874718993156,7.5996,24.0,0.0,1,0.0004,68.88,0.12,20000.0,0.0,crecimiento,36.199999999999996,1.72,0.0,0.0
Fe_3d_altura_c007_s001_ed0.80_te20000._ep 5.0.dat,Fe,2.606896821893801,3.0939941822828305,1.2967579578190565,0.4962152114700431,1.6664,12.0,0.0,104,0.0416,32.84,0.8,20000.0,0.0,coalescencia,0.12,0.0,0.0,0.0
Cr_3d_altura_c006_s005_ed0.24_te20000._ep 5.0.dat,Cr,9.799710722261143,18.49248496011285,-0.3202733840214805,-1.2071561286928902,15.6824,30.0,0.0,1,0.0004,84.04,0.24,20000.0,0.0,crecimiento,68.2,39.519999999999996,0.0,0.0
Fe_3d_altura_c005_s004_ed0.84_te20000._ep 5.0.dat,Fe,8.437777906534397,14.38304557456452,-0.005398217935768286,-1.1793445676892174,11.648,30.0,0.0,1,0.0004,77.64,0.84,20000.0,0.0,crecimiento,56.96,17.36,0.0,0.0
Cr_3d_altura_c009_s003_ed0.01_te20000._ep 5.0.dat,Cr,6.056880398356897,9.015031891235882,0.38727264702493963,-0.964344842539361,6.6772,25.0,0.0,2,0.0008,65.60000000000001,0.01,20000.0,0.0,crecimiento,30.12,0.96,0.0,0.0
Cr_3d_altura_c005_s004_ed0.15_te20000._ep 5.0.dat,Cr,8.120597130753378,14.05103554902627,-0.11082582100940912,-1.2579753645573302,11.4668,30.0,0.0,1,0.0004,77.92,0.15,20000.0,0.0,crecimiento,56.96,14.48,0.0,0.0
Fe_3d_altura_c001_s005_ed0.57_te20000._ep 5.0.dat,Fe,9.554716397675024,18.155902621461703,-0.33716466506240955,-1.1342394430714857,15.4384,30.0,0.0,1,0.0004,83.39999999999999,0.57,20000.0,0.0,crecimiento,68.84,37.2,0.0,0.0
Fe_3d_altura_c008_s004_ed0.52_te20000._ep 5.0.dat,Fe,8.51650913461613,14.43873955717742,0.03705624795596129,-1.1529219717958115,11.6596,30.0,0.0,1,0.0004,77.88000000000001,0.52,20000.0,0.0,crecimiento,56.39999999999999,17.560000000000002,0.0,0.0
Cr_3d_altura_c002_s002_ed0.15_te20000._ep 5.0.dat,Cr,4.56014208550567,6.145404787318733,0.6773790185453573,-0.7819140402311655,4.1196,18.0,0.0,9,0.0036,53.16,0.15,20000.0,0.0,coalescencia,12.0,0.0,0.0,0.0
Fe_3d_altura_c007_s006_ed0.80_te20000._ep 5.0.dat,Fe,9.616543611922113,18.525139675586793,-0.40263760978708224,-1.1241938993692058,15.8336,30.0,0.0,1,0.0004,84.04,0.8,20000.0,0.0,crecimiento,69.8,40.28,0.0,0.0
Fe_3d_altura_c002_s005_ed0.87_te20000._ep 5.0.dat,Fe,9.300962530835182,17.936019625323787,-0.3685580459571441,-1.1043669719353741,15.336,30.0,0.0,1,0.0004,84.48,0.87,20000.0,0.0,crecimiento,69.52000000000001,36.28,0.0,0.0
Fe_3d_altura_c003_s003_ed0.66_te20000._ep 5.0.dat,Fe,6.691235808129916,10.137553945602459,0.30934669887849925,-1.0871509556577068,7.6156,27.0,0.0,1,0.0004,67.47999999999999,0.66,20000.0,0.0,crecimiento,37.36,2.44,0.0,0.0
Fe_3d_altura_c009_s003_ed0.90_te20000._ep 5.0.dat,Fe,6.6224167673138785,10.10283128632761,0.2994044739449735,-1.0597918308627126,7.6296,28.0,0.0,3,0.0012,68.08,0.9,20000.0,0.0,crecimiento,36.64,2.12,0.0,0.0
Fe_3d_altura_c005_s002_ed0.84_te20000._ep 5.0.dat,Fe,4.7066308799394925,6.407339541494582,0.6868119245248795,-0.6129909239980664,4.3476,21.0,0.0,5,0.002,54.76,0.84,20000.0,0.0,coalescencia,12.72,0.04,0.0,0.0
Cr_3d_altura_c008_s005_ed0.12_te20000._ep 5.0.dat,Cr,9.395133242269639,17.949573811096464,-0.3523180844137255,-1.1306600120594867,15.2944,30.0,0.0,1,0.0004,84.0,0.12,20000.0,0.0,crecimiento,68.67999999999999,36.559999999999995,0.0,0.0
Cr_3d_altura_c001_s005_ed0.15_te20000._ep 5.0.dat,Cr,9.296515743008237,18.010052748395825,-0.3756610042841766,-1.0775938928900357,15.4252,30.0,0.0,1,0.0004,84.48,0.15,20000.0,0.0,crecimiento,69.64,36.919999999999995,0.0,0.0
Cr_3d_altura_c008_s002_ed0.12_te20000._ep 5.0.dat,Cr,4.597050793715466,6.21466008724532,0.7103386452972426,-0.6456053554579295,4.182,20.0,0.0,6,0.0024,54.08,0.12,20000.0,0.0,coalescencia,11.92,0.0,0.0,0.0
Cr_3d_altura_c007_s003_ed0.08_te20000._ep 5.0.dat,Cr,6.453932060379936,9.82384853303429,0.26943276693027124,-1.186639930155966,7.4064,24.0,0.0,1,0.0004,67.52,0.08,20000.0,0.0,crecimiento,35.76,1.08,0.0,0.0
Fe_3d_altura_c010_s004_ed0.59_te20000._ep 5.0.dat,Fe,8.227903781644509,14.022153900168119,-0.014913490936936048,-1.1985830385646243,11.3544,30.0,0.0,2,0.0008,77.44,0.59,20000.0,0.0,crecimiento,55.76,15.2,0.0,0.0
Fe_3d_altura_c010_s002_ed0.59_te20000._ep 5.0.dat,Fe,4.561946321472886,6.199290281959701,0.658410878486871,-0.7361463699127562,4.1976,19.0,0.0,6,0.0024,54.08,0.59,20000.0,0.0,coalescencia,11.200000000000001,0.0,0.0,0.0
Fe_3d_altura_c004_s005_ed0.92_te20000._ep 5.0.dat,Fe,9.595238685931685,18.282013018264703,-0.3519854949030109,-1.14291554606676,15.5616,30.0,0.0,1,0.0004,83.72,0.92,20000.0,0.0,crecimiento,69.56,38.76,0.0,0.0
Cr_3d_altura_c010_s001_ed0.24_te20000._ep 5.0.dat,Cr,2.684988640571874,3.181131874034775,1.351662911072841,0.7463372621680051,1.706,13.0,0.0,105,0.042,33.0,0.24,20000.0,0.0,coalescencia,0.44,0.0,0.0,0.0
Cr_3d_altura_c006_s003_ed0.24_te20000._ep 5.0.dat,Cr,6.849035657667436,10.299029080452195,0.4200123888923977,-0.9017353387958575,7.6916,26.0,0.0,2,0.0008,68.32000000000001,0.24,20000.0,0.0,crecimiento,35.480000000000004,4.0,0.0,0.0
Fe_3d_altura_c009_s002_ed0.90_te20000._ep 5.0.dat,Fe,4.585727144085221,6.2716505004663645,0.6066640200713771,-0.8915741666997339,4.2784,18.0,0.0,10,0.004,54.76,0.9,20000.0,0.0,coalescencia,12.24,0.0,0.0,0.0
Fe_3d_altura_c003_s001_ed0.66_te20000._ep 5.0.dat,Fe,2.7361556680861563,3.216208948436031,1.5047959028661524,1.5355552980390703,1.6904,15.0,0.0,96,0.0384,32.28,0.66,20000.0,0.0,coalescencia,0.84,0.0,0.0,0.0
Cr_3d_altura_c006_s006_ed0.24_te20000._ep 5.0.dat,Cr,9.799710722261143,18.49248496011285,-0.3202733840214805,-1.2071561286928902,15.6824,30.0,0.0,1,0.0004,84.04,0.24,20000.0,0.0,crecimiento,68.2,39.519999999999996,0.0,0.0
Fe_3d_altura_c003_s006_ed0.66_te20000._ep 5.0.dat,Fe,9.607048945435846,18.18621455938536,-0.3513168526864939,-1.1293138160643388,15.4416,30.0,0.0,1,0.0004,82.88,0.66,20000.0,0.0,crecimiento,69.64,37.44,0.0,0.0
Fe_3d_altura_c002_s002_ed0.87_te20000._ep 5.0.dat,Fe,4.46620261071976,6.105669496459828,0.6101081257405684,-0.8744026602841752,4.1632,17.0,0.0,3,0.0012,54.6,0.87,20000.0,0.0,coalescencia,10.52,0.0,0.0,0.0
Cr_3d_altura_c002_s005_ed0.15_te20000._ep 5.0.dat,Cr,9.498702858811829,18.146591966537407,-0.3565027456617381,-1.1299516226494795,15.462,30.0,0.0,1,0.0004,83.96000000000001,0.15,20000.0,0.0,crecimiento,69.76,37.76,0.0,0.0
Fe_3d_altura_c003_s005_ed0.66_te20000._ep 5.0.dat,Fe,9.607048945435846,18.18621455938536,-0.3513168526864939,-1.1293138160643388,15.4416,30.0,0.0,1,0.0004,82.88,0.66,20000.0,0.0,crecimiento,69.64,37.44,0.0,0.0
Cr_3d_altura_c003_s006_ed0.08_te20000._ep 5.0.dat,Cr,9.341944731157426,17.867545998261765,-0.3343378760967711,-1.100616554313824,15.2308,30.0,0.0,1,0.0004,83.76,0.08,20000.0,0.0,crecimiento,68.44,36.24,0.0,0.0
Cr_3d_altura_c001_s002_ed0.15_te20000._ep 5.0.dat,Cr,4.564661669828334,6.228161847608008,0.6124373207138936,-0.9085639838301671,4.2372,18.0,0.0,5,0.002,54.559999999999995,0.15,20000.0,0.0,coalescencia,11.959999999999999,0.0,0.0,0.0
Fe_3d_altura_c001_s004_ed0.57_te20000._ep 5.0.dat,Fe,8.22377442297635,14.06739492585603,-0.0522755102010657,-1.2231002341654909,11.4132,29.0,0.0,1,0.0004,77.24,0.57,20000.0,0.0,crecimiento,56.04,15.28,0.0,0.0
Fe_3d_altura_c004_s003_ed0.92_te20000._ep 5.0.dat,Fe,6.606488192678467,10.212365054187988,0.22818873025571568,-1.1776852920500598,7.7876,25.0,0.0,1,0.0004,69.0,0.92,20000.0,0.0,crecimiento,38.24,1.7999999999999998,0.0,0.0
Cr_3d_altura_c006_s002_ed0.24_te20000._ep 5.0.dat,Cr,4.748243953294734,6.402968061766355,0.8322017120178006,-0.09796082455129573,4.2956,22.0,0.0,7,0.0028,54.72,0.24,20000.0,0.0,coalescencia,12.16,0.12,0.0,0.0
Fe_3d_altura_c001_s001_ed0.57_te20000._ep 5.0.dat,Fe,2.617444830364147,3.09496365083663,1.3307584179062313,0.6142174175013713,1.6516,11.0,0.0,100,0.04,32.28,0.57,20000.0,0.0,coalescencia,0.27999999999999997,0.0,0.0,0.0
Fe_3d_altura_c007_s003_ed0.80_te20000._ep 5.0.dat,Fe,6.6898896851891365,10.294153680609202,0.257183011890977,-1.18626448525806,7.824,25.0,0.0,1,0.0004,69.19999999999999,0.8,20000.0,0.0,crecimiento,37.6,2.04,0.0,0.0
Fe_3d_altura_c002_s003_ed0.87_te20000._ep 5.0.dat,Fe,6.35076390995603,9.795304997803795,0.22606412820269856,-1.1977398077259966,7.4576,26.0,0.0,1,0.0004,68.76,0.87,20000.0,0.0,crecimiento,36.559999999999995,0.96,0.0,0.0
Fe_3d_altura_c008_s003_ed0.52_te20000._ep 5.0.dat,Fe,6.704615854767519,10.20476359353807,0.3612939134185074,-0.9268652849225885,7.6932,29.0,0.0,2,0.0008,68.72,0.52,20000.0,0.0,crecimiento,36.480000000000004,2.7199999999999998,0.0,0.0
Cr_3d_altura_c005_s002_ed0.15_te20000._ep 5.0.dat,Cr,4.656545998913787,6.335266371668992,0.6597545319196417,-0.8013358753005648,4.2956,18.0,0.0,11,0.0044,54.879999999999995,0.15,20000.0,0.0,coalescencia,13.0,0.0,0.0,0.0
Cr_3d_altura_c005_s006_ed0.15_te20000._ep 5.0.dat,Cr,9.582718870967675,18.06575766470922,-0.33918832339616145,-1.1675844074697905,15.3148,30.0,0.0,1,0.0004,83.16,0.15,20000.0,0.0,crecimiento,68.28,37.28,0.0,0.0
Cr_3d_altura_c002_s001_ed0.15_te20000._ep 5.0.dat,Cr,2.566976244533634,3.0495901363953815,1.3000614230254444,0.6238431950854451,1.6464,14.0,0.0,90,0.036,32.879999999999995,0.15,20000.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Fe_3d_altura_c001_s003_ed0.57_te20000._ep 5.0.dat,Fe,6.4809861471847015,10.002159766770374,0.22832247832866462,-1.2024325236603812,7.6184,24.0,0.0,1,0.0004,68.84,0.57,20000.0,0.0,crecimiento,36.88,1.32,0.0,0.0
Cr_3d_altura_c009_s004_ed0.01_te20000._ep 5.0.dat,Cr,7.7080841822076644,12.806326561508573,0.08372526887490057,-1.1012473810030228,10.2268,30.0,0.0,1,0.0004,75.84,0.01,20000.0,0.0,crecimiento,50.519999999999996,8.76,0.0,0.0
